**********************************************
ItemStrings.txt
locale: zhCN
revision: 55586
version: 14
build: 3.4.3
ExportTime: 2024-07-18 19:46:45
Total Items: 14734
**********************************************
    [1, 1]: 38082
    [1, 211]: 36388
    [1, 212]: 43461
    [1, 213]: 36387
    [1, 214]: 3797
    [1, 215]: 37170
    [1, 216]: 14101
    [1, 217]: 14103
    [1, 218]: 14100
    [1, 219]: 812
    [1, 220]: 24245
    [1, 221]: 3045
    [1, 222]: 3047
    [1, 223]: 3212
    [1, 224]: 4706
    [1, 225]: 4707
    [1, 226]: 3049
    [1, 227]: 3048
    [1, 228]: 43647
    [1, 229]: 29242
    [1, 230]: 40285
    [1, 231]: 47515
    [1, 232]: 40384
    [1, 233]: 37005
    [1, 234]: 37747
    [1, 235]: 39308
    [1, 236]: 45483
    [1, 237]: 37242
    [1, 238]: 39270
    [1, 239]: 47087
    [1, 240]: 37728
    [1, 241]: 45480
    [1, 242]: 47133
    [1, 243]: 15996
    [1, 244]: 43361
    [1, 245]: 43310
    [1, 246]: 50656
    [1, 247]: 32897
    [1, 248]: 31224
    [1, 249]: 31223
    [1, 250]: 31201
    [1, 251]: 31221
    [1, 252]: 37802
    [1, 253]: 37587
    [1, 254]: 37065
    [1, 255]: 50452
    [1, 256]: 25041
    [1, 257]: 42955
    [1, 258]: 38611
    [1, 259]: 10217
    [1, 260]: 10212
    [1, 261]: 10210
    [1, 262]: 10211
    [1, 263]: 3928
    [1, 264]: 13443
    [1, 265]: 4243
    [1, 266]: 4246
    [1, 267]: 2308
    [1, 268]: 15808
    [1, 269]: 7608
    [1, 270]: 1198
    [1, 271]: 20818
    [1, 272]: 39721
    [1, 273]: 37620
    [1, 274]: 40069
    [1, 275]: 43672
    [1, 276]: 37825
    [1, 277]: 17031
    [1, 278]: 37867
    [1, 279]: 35650
    [1, 280]: 17032
    [1, 281]: 45537
    [1, 282]: 39645
    [1, 283]: 15324
    [1, 284]: 47553
    [1, 285]: 39361
    [1, 286]: 42968
    [1, 287]: 40899
    [1, 288]: 50194
    [1, 289]: 39311
    [1, 290]: 37756
    [1, 291]: 44313
    [1, 292]: 11733
    [1, 293]: 4334
    [1, 294]: 37180
    [1, 295]: 31720
    [1, 296]: 15241
    [1, 297]: 25118
    [1, 298]: 25233
    [1, 299]: 18363
    [1, 300]: 15213
    [1, 301]: 42963
    [1, 302]: 43717
    [1, 303]: 39356
    [1, 304]: 40204
    [1, 305]: 44695:-92
    [1, 306]: 51987:-92
    [1, 307]: 51983:-92
    [1, 308]: 44691:-92
    [1, 309]: 44683:-92
    [1, 310]: 42340:-92
    [1, 311]: 44649:-92
    [1, 312]: 44677:-92
    [1, 313]: 44681:-92
    [1, 314]: 44670:-92
    [1, 315]: 2246
    [1, 316]: 45
    [1, 317]: 1396
    [1, 318]: 57
    [1, 319]: 59
    [1, 320]: 40772
    [1, 321]: 38464
    [1, 322]: 10498
    [1, 323]: 18645
    [1, 324]: 10720
    [1, 325]: 10645
    [1, 326]: 10726
    [1, 327]: 10724
    [1, 328]: 25270
    [1, 329]: 10716
    [1, 330]: 7506
    [1, 331]: 4397
    [1, 332]: 6198
    [1, 333]: 44373
    [1, 334]: 9154
    [1, 335]: 9233
    [1, 336]: 39236
    [1, 337]: 44695
    [1, 338]: 47064
    [1, 339]: 4403
    [1, 340]: 37874
    [1, 341]: 38252
    [1, 342]: 14791
    [1, 343]: 14789
    [1, 344]: 14794
    [1, 345]: 4421
    [1, 346]: 33459
    [1, 347]: 43467
    [1, 348]: 19515
    [1, 349]: 19517
    [1, 350]: 52029
    [1, 351]: 52026
    [1, 352]: 7191
    [1, 353]: 25942
    [1, 354]: 45535
    [1, 355]: 27542
    [1, 356]: 6266
    [1, 357]: 6267
    [1, 358]: 15932
    [1, 359]: 6512
    [1, 360]: 7049
    [1, 361]: 40253
    [1, 362]: 18232
    [1, 363]: 36533
    [1, 364]: 15222
    [1, 365]: 25125
    [1, 366]: 45192
    [1, 367]: 43351
    [1, 368]: 39141
    [1, 369]: 47095
    [1, 370]: 39756
    [1, 371]: 37731
    [1, 372]: 13074
    [1, 373]: 37288
    [1, 374]: 40398
    [1, 375]: 6601
    [1, 376]: 6598
    [1, 377]: 6603
    [1, 378]: 6605
    [1, 379]: 6602
    [1, 380]: 6600
    [1, 381]: 50449
    [1, 382]: 16474
    [1, 383]: 19268
    [1, 384]: 19274
    [1, 385]: 19270
    [1, 386]: 19269
    [1, 387]: 19272
    [1, 388]: 19275
    [1, 389]: 19273
    [1, 390]: 19271
    [1, 391]: 7067
    [1, 392]: 22527
    [1, 393]: 7070
    [1, 394]: 25305
    [1, 395]: 36809
    [1, 396]: 19267
    [1, 397]: 24692
    [1, 398]: 24685
    [1, 399]: 16672
    [1, 400]: 41552
    [1, 401]: 16673
    [1, 402]: 944
    [1, 403]: 47209
    [1, 404]: 7068
    [1, 405]: 23781
    [1, 406]: 23819
    [1, 407]: 24507
    [1, 408]: 24508
    [1, 409]: 18262
    [1, 410]: 7069
    [1, 411]: 9434
    [1, 412]: 36052
    [1, 413]: 36054
    [1, 414]: 36057
    [1, 415]: 36058
    [1, 416]: 36056
    [1, 417]: 36055
    [1, 418]: 36051
    [1, 419]: 36053
    [1, 420]: 41385
    [1, 421]: 31865
    [1, 422]: 32214
    [1, 423]: 31864
    [1, 424]: 40137
    [1, 425]: 39944
    [1, 426]: 40030
    [1, 427]: 36391:-67
    [1, 428]: 36390:-67
    [1, 429]: 36354:-67
    [1, 430]: 36306:-67
    [1, 431]: 36184:-67
    [1, 432]: 36396:-67
    [1, 433]: 36400:-67
    [1, 434]: 36271:-67
    [1, 435]: 36272:-67
    [1, 436]: 36267:-67
    [1, 437]: 36210:-67
    [1, 438]: 36204:-67
    [1, 439]: 36191:-67
    [1, 440]: 36313:-67
    [1, 441]: 36314:-67
    [1, 442]: 36307:-67
    [1, 443]: 44741:-67
    [1, 444]: 36265:-67
    [1, 445]: 36377:-67
    [1, 446]: 36373:-67
    [1, 447]: 36371:-67
    [1, 448]: 36376:-67
    [1, 449]: 36336:-67
    [1, 450]: 36251:-67
    [1, 451]: 36232:-67
    [1, 452]: 36221:-67
    [1, 453]: 36212:-67
    [1, 454]: 36282:-67
    [1, 455]: 36277:-67
    [1, 456]: 36342:-67
    [1, 457]: 2983
    [1, 458]: 36286:-67
    [1, 459]: 36285:-67
    [1, 460]: 36288:-67
    [1, 461]: 36381:-67
    [1, 462]: 36316:-67
    [1, 463]: 20877
    [1, 464]: 2984
    [1, 465]: 3645
    [1, 466]: 25826
    [1, 467]: 6378
    [1, 468]: 45074
    [1, 469]: 40092
    [1, 470]: 40170
    [1, 471]: 39979
    [1, 472]: 2982
    [1, 473]: 4699
    [1, 474]: 13447
    [1, 475]: 6561
    [1, 476]: 2981
    [1, 477]: 28497:-54
    [1, 478]: 3292
    [1, 479]: 25318
    [1, 480]: 3291
    [1, 481]: 21100
    [1, 482]: 36473
    [1, 483]: 6268
    [1, 484]: 6269
    [1, 485]: 38213
    [1, 486]: 15498
    [1, 487]: 15502
    [1, 488]: 15500
    [1, 489]: 15503
    [1, 490]: 18362
    [1, 491]: 42403
    [1, 492]: 52252
    [1, 493]: 30994
    [1, 494]: 41110
    [1, 495]: 20709
    [1, 496]: 15242
    [1, 497]: 43652
    [1, 498]: 5568
    [1, 499]: 35656
    [1, 500]: 27919
    [1, 501]: 40486
    [1, 502]: 45113
    [1, 503]: 35947
    [1, 504]: 14969
    [1, 505]: 14967
    [1, 506]: 14974
    [1, 507]: 14973
    [1, 508]: 14971
    [1, 509]: 14966
    [1, 510]: 14968
    [1, 511]: 14970
    [1, 512]: 14972
    [1, 513]: 25146
    [1, 514]: 24021
    [1, 515]: 41377
    [1, 516]: 40191
    [1, 517]: 14320
    [1, 518]: 40251
    [1, 519]: 7787
    [1, 520]: 16724
    [1, 521]: 16722
    [1, 522]: 16723
    [1, 523]: 39416
    [1, 524]: 2262
    [1, 525]: 2244
    [1, 526]: 43611
    [1, 527]: 40701
    [1, 528]: 37652
    [1, 529]: 8497
    [1, 530]: 19276
    [1, 531]: 19283
    [1, 532]: 19279
    [1, 533]: 19278
    [1, 534]: 19281
    [1, 535]: 19284
    [1, 536]: 19282
    [1, 537]: 19280
    [1, 538]: 5976
    [1, 539]: 20758
    [1, 540]: 20752
    [1, 541]: 22565
    [1, 542]: 20755
    [1, 543]: 20753
    [1, 544]: 20754
    [1, 545]: 11813
    [1, 546]: 16243
    [1, 547]: 25849
    [1, 548]: 25848
    [1, 549]: 22563
    [1, 550]: 22562
    [1, 551]: 44483
    [1, 552]: 6349
    [1, 553]: 11038
    [1, 554]: 16249
    [1, 555]: 16255
    [1, 556]: 11166
    [1, 557]: 44485
    [1, 558]: 16244
    [1, 559]: 16219
    [1, 560]: 11150
    [1, 561]: 11152
    [1, 562]: 11226
    [1, 563]: 11205
    [1, 564]: 11203
    [1, 565]: 11223
    [1, 566]: 6347
    [1, 567]: 6344
    [1, 568]: 22532
    [1, 569]: 44484
    [1, 570]: 11204
    [1, 571]: 11225
    [1, 572]: 11163
    [1, 573]: 11101
    [1, 574]: 6375
    [1, 575]: 44944
    [1, 576]: 22531
    [1, 577]: 44498
    [1, 578]: 16218
    [1, 579]: 16251
    [1, 580]: 11039
    [1, 581]: 16216
    [1, 582]: 44472
    [1, 583]: 11098
    [1, 584]: 44488
    [1, 585]: 37349
    [1, 586]: 44471
    [1, 587]: 11206
    [1, 588]: 37347
    [1, 589]: 22548
    [1, 590]: 33150
    [1, 591]: 16224
    [1, 592]: 37332
    [1, 593]: 37330
    [1, 594]: 37334
    [1, 595]: 37331
    [1, 596]: 37333
    [1, 597]: 22557
    [1, 598]: 16223
    [1, 599]: 6348
    [1, 600]: 46027
    [1, 601]: 16252
    [1, 602]: 46348
    [1, 603]: 44473
    [1, 604]: 17725
    [1, 605]: 11208
    [1, 606]: 37339
    [1, 607]: 44487
    [1, 608]: 11165
    [1, 609]: 11164
    [1, 610]: 35498
    [1, 611]: 18260
    [1, 612]: 18259
    [1, 613]: 22553
    [1, 614]: 11207
    [1, 615]: 44492
    [1, 616]: 22559
    [1, 617]: 16254
    [1, 618]: 44494
    [1, 619]: 37344
    [1, 620]: 44496
    [1, 621]: 16247
    [1, 622]: 16250
    [1, 623]: 44486
    [1, 624]: 16248
    [1, 625]: 22558
    [1, 626]: 44495
    [1, 627]: 45059
    [1, 628]: 11224
    [1, 629]: 22541
    [1, 630]: 22539
    [1, 631]: 11168
    [1, 632]: 11081
    [1, 633]: 28282
    [1, 634]: 22540
    [1, 635]: 11202
    [1, 636]: 22547
    [1, 637]: 37340
    [1, 638]: 6342
    [1, 639]: 44489
    [1, 640]: 16253
    [1, 641]: 6346
    [1, 642]: 16221
    [1, 643]: 28270
    [1, 644]: 6377
    [1, 645]: 22543
    [1, 646]: 16245
    [1, 647]: 44490
    [1, 648]: 16215
    [1, 649]: 11167
    [1, 650]: 22542
    [1, 651]: 44491
    [1, 652]: 16220
    [1, 653]: 28279
    [1, 654]: 28280
    [1, 655]: 37653
    [1, 656]: 50667
    [1, 657]: 47078
    [1, 658]: 29434
    [1, 659]: 44410
    [1, 660]: 36567
    [1, 661]: 7734
    [1, 662]: 50180
    [1, 663]: 43430
    [1, 664]: 21603
    [1, 665]: 14601
    [1, 666]: 14604
    [1, 667]: 14606
    [1, 668]: 943
    [1, 669]: 3653
    [1, 670]: 3315
    [1, 671]: 3313
    [1, 672]: 40683
    [1, 673]: 35635
    [1, 674]: 39405
    [1, 675]: 25048:-28
    [1, 676]: 31194:-28
    [1, 677]: 36417:-28
    [1, 678]: 25044:-28
    [1, 679]: 36432:-28
    [1, 680]: 10264
    [1, 681]: 10258
    [1, 682]: 9420
    [1, 683]: 44371
    [1, 684]: 10262
    [1, 685]: 50606
    [1, 686]: 31185
    [1, 687]: 31184
    [1, 688]: 31182
    [1, 689]: 31153
    [1, 690]: 28379
    [1, 691]: 28378
    [1, 692]: 28377
    [1, 693]: 28380
    [1, 694]: 41591
    [1, 695]: 16342
    [1, 696]: 18441
    [1, 697]: 18440
    [1, 698]: 18443
    [1, 699]: 18444
    [1, 700]: 18442
    [1, 701]: 2079
    [1, 702]: 9926
    [1, 703]: 9933
    [1, 704]: 9929
    [1, 705]: 9931
    [1, 706]: 9934
    [1, 707]: 3070
    [1, 708]: 9765
    [1, 709]: 8179
    [1, 710]: 9762
    [1, 711]: 9763
    [1, 712]: 9764
    [1, 713]: 3283
    [1, 714]: 4077
    [1, 715]: 6402
    [1, 716]: 6403
    [1, 717]: 4717
    [1, 718]: 40679
    [1, 719]: 3334
    [1, 720]: 36600
    [1, 721]: 44990
    [1, 722]: 46114
    [1, 723]: 4318
    [1, 724]: 3819
    [1, 725]: 225925
    [1, 726]: 54804
    [1, 727]: 12820
    [1, 728]: 13755
    [1, 729]: 36081
    [1, 730]: 36082
    [1, 731]: 36080
    [1, 732]: 36079
    [1, 733]: 36075
    [1, 734]: 36076
    [1, 735]: 50609
    [1, 736]: 37755
    [1, 737]: 45461
    [1, 738]: 40067
    [1, 739]: 40369
    [1, 740]: 40365
    [1, 741]: 33629
    [1, 742]: 33632
    [1, 743]: 43013
    [1, 744]: 33433
    [1, 745]: 33401
    [1, 746]: 33403
    [1, 747]: 33398
    [1, 748]: 33399
    [1, 749]: 38557
    [1, 750]: 43566
    [1, 751]: 40822
    [1, 752]: 42746
    [1, 753]: 43546
    [1, 754]: 36456
    [1, 755]: 43102
    [1, 756]: 33385
    [1, 757]: 33382
    [1, 758]: 45462
    [1, 759]: 37155
    [1, 760]: 41608
    [1, 761]: 36458
    [1, 762]: 22682
    [1, 763]: 33380
    [1, 764]: 42905
    [1, 765]: 35799
    [1, 766]: 43186
    [1, 767]: 40488
    [1, 768]: 45451
    [1, 769]: 43545
    [1, 770]: 50608
    [1, 771]: 46991
    [1, 772]: 36699
    [1, 773]: 35595
    [1, 774]: 41600
    [1, 775]: 43583
    [1, 776]: 35591
    [1, 777]: 42745
    [1, 778]: 36906
    [1, 779]: 36471
    [1, 780]: 41809
    [1, 781]: 47147
    [1, 782]: 53641
    [1, 783]: 42743
    [1, 784]: 13467
    [1, 785]: 45454
    [1, 786]: 36444
    [1, 787]: 225921
    [1, 788]: 54801
    [1, 789]: 42253
    [1, 790]: 36348
    [1, 791]: 36350
    [1, 792]: 36354
    [1, 793]: 36347
    [1, 794]: 37373
    [1, 795]: 36353
    [1, 796]: 36349
    [1, 797]: 38371
    [1, 798]: 36352
    [1, 799]: 38561
    [1, 800]: 33425
    [1, 801]: 43190
    [1, 802]: 36582
    [1, 803]: 1179
    [1, 804]: 36459
    [1, 805]: 40491
    [1, 806]: 36006
    [1, 807]: 36010
    [1, 808]: 36008
    [1, 809]: 36003
    [1, 810]: 36009
    [1, 811]: 36005
    [1, 812]: 3829
    [1, 813]: 225922
    [1, 814]: 54802
    [1, 815]: 225924
    [1, 816]: 54803
    [1, 817]: 35720
    [1, 818]: 32423
    [1, 819]: 43971
    [1, 820]: 41516
    [1, 821]: 43973
    [1, 822]: 43974
    [1, 823]: 43975
    [1, 824]: 43969
    [1, 825]: 43972
    [1, 826]: 43970
    [1, 827]: 39700
    [1, 828]: 46376
    [1, 829]: 15241:1954
    [1, 830]: 9844:1965
    [1, 831]: 7558:1955
    [1, 832]: 2632:1951
    [1, 833]: 6542:1952
    [1, 834]: 14174:1954
    [1, 835]: 5215:1955
    [1, 836]: 15933:1952
    [1, 837]: 9770:1953
    [1, 838]: 9819:1963
    [1, 839]: 14297:1975
    [1, 840]: 14259:1964
    [1, 841]: 6613:1956
    [1, 842]: 6614:1956
    [1, 843]: 6617:1958
    [1, 844]: 15243:1956
    [1, 845]: 7353:1964
    [1, 846]: 2140:1951
    [1, 847]: 32413
    [1, 848]: 43543
    [1, 849]: 14967:1370
    [1, 850]: 10264:1380
    [1, 851]: 11968:1358
    [1, 852]: 11973:1366
    [1, 853]: 11969:1360
    [1, 854]: 11975:1368
    [1, 855]: 42741
    [1, 856]: 21869
    [1, 857]: 21871
    [1, 858]: 21870
    [1, 859]: 43135
    [1, 860]: 39198
    [1, 861]: 37151
    [1, 862]: 36057:-33
    [1, 863]: 36429:-33
    [1, 864]: 24704:-33
    [1, 865]: 24707:-33
    [1, 866]: 36402:-33
    [1, 867]: 36271:-33
    [1, 868]: 36274:-33
    [1, 869]: 36189:-33
    [1, 870]: 36188:-33
    [1, 871]: 24995:-33
    [1, 872]: 24710:-33
    [1, 873]: 36197:-33
    [1, 874]: 36202:-33
    [1, 875]: 36044:-33
    [1, 876]: 24763:-33
    [1, 877]: 24924:-33
    [1, 878]: 36016:-33
    [1, 879]: 36374:-33
    [1, 880]: 24746:-33
    [1, 881]: 24729:-33
    [1, 882]: 36231:-33
    [1, 883]: 36414:-33
    [1, 884]: 36040:-33
    [1, 885]: 25069:-33
    [1, 886]: 35962:-33
    [1, 887]: 36428:-33
    [1, 888]: 24636:-33
    [1, 889]: 35966:-33
    [1, 890]: 25004:-33
    [1, 891]: 36085:-33
    [1, 892]: 36440:-33
    [1, 893]: 36321:-33
    [1, 894]: 6050
    [1, 895]: 42906
    [1, 896]: 41547
    [1, 897]: 54805
    [1, 898]: 12434
    [1, 899]: 1981
    [1, 900]: 38374
    [1, 901]: 27437
    [1, 902]: 33451
    [1, 903]: 3198
    [1, 904]: 44920
    [1, 905]: 40246
    [1, 906]: 42954
    [1, 907]: 43993
    [1, 908]: 15479
    [1, 909]: 15477
    [1, 910]: 43397
    [1, 911]: 40322
    [1, 912]: 39726
    [1, 913]: 18697
    [1, 914]: 36303
    [1, 915]: 35808
    [1, 916]: 36302
    [1, 917]: 36306
    [1, 918]: 36305
    [1, 919]: 36301
    [1, 920]: 36299
    [1, 921]: 36304
    [1, 922]: 5079
    [1, 923]: 27547
    [1, 924]: 40075
    [1, 925]: 35681
    [1, 926]: 41379
    [1, 927]: 44082
    [1, 928]: 31236
    [1, 929]: 47109
    [1, 930]: 31235
    [1, 931]: 31232
    [1, 932]: 25313
    [1, 933]: 1959
    [1, 934]: 36063
    [1, 935]: 36066
    [1, 936]: 36062
    [1, 937]: 50620
    [1, 938]: 36061
    [1, 939]: 36060
    [1, 940]: 44758
    [1, 941]: 44363
    [1, 942]: 31137
    [1, 943]: 12996
    [1, 944]: 37763
    [1, 945]: 13462
    [1, 946]: 36611
    [1, 947]: 1727
    [1, 948]: 50693
    [1, 949]: 50681
    [1, 950]: 42958
    [1, 951]: 47084
    [1, 952]: 45806
    [1, 953]: 38438
    [1, 954]: 38409
    [1, 955]: 38411
    [1, 956]: 37680
    [1, 957]: 39199
    [1, 958]: 36469
    [1, 959]: 33413
    [1, 960]: 33416
    [1, 961]: 33419
    [1, 962]: 33415
    [1, 963]: 37237
    [1, 964]: 4331
    [1, 965]: 4317
    [1, 966]: 2911
    [1, 967]: 28246
    [1, 968]: 28244
    [1, 969]: 40743
    [1, 970]: 1443
    [1, 971]: 35570
    [1, 972]: 38672
    [1, 973]: 50710
    [1, 974]: 39371
    [1, 975]: 46971
    [1, 976]: 40713
    [1, 977]: 13145
    [1, 978]: 37886
    [1, 979]: 41949
    [1, 980]: 41968
    [1, 981]: 41962
    [1, 982]: 41943
    [1, 983]: 41956
    [1, 984]: 40817
    [1, 985]: 40799
    [1, 986]: 40857
    [1, 987]: 40779
    [1, 988]: 40837
    [1, 989]: 40798
    [1, 990]: 40858
    [1, 991]: 40780
    [1, 992]: 40838
    [1, 993]: 42002
    [1, 994]: 50372
    [1, 995]: 15134
    [1, 996]: 47130
    [1, 997]: 15018
    [1, 998]: 40041
    [1, 999]: 15017
    [1, 1000]: 40146
    [2, 1]: 39951
    [2, 2]: 50682
    [2, 3]: 36675
    [2, 4]: 37642
    [2, 5]: 42967
    [2, 6]: 13020
    [2, 7]: 15224
    [2, 8]: 42966
    [2, 9]: 45766
    [2, 10]: 43990
    [2, 11]: 40742
    [2, 12]: 28041
    [2, 13]: 45824
    [2, 14]: 36545
    [2, 15]: 39224
    [2, 16]: 39263
    [2, 17]: 39140
    [2, 18]: 37789
    [2, 19]: 42973
    [2, 20]: 15130
    [2, 21]: 6206
    [2, 22]: 15196
    [2, 23]: 37397
    [2, 24]: 4541
    [2, 25]: 15113
    [2, 26]: 15118
    [2, 27]: 39915
    [2, 28]: 23116
    [2, 29]: 15115
    [2, 30]: 15114
    [2, 31]: 32206
    [2, 32]: 40125
    [2, 33]: 28468
    [2, 34]: 1686
    [2, 35]: 40014
    [2, 36]: 15110
    [2, 37]: 45987
    [2, 38]: 24051
    [2, 39]: 45491
    [2, 40]: 50685
    [2, 41]: 6124
    [2, 42]: 6123
    [2, 43]: 2458
    [2, 44]: 20744
    [2, 45]: 118
    [2, 46]: 20745
    [2, 47]: 2455
    [2, 48]: 45621
    [2, 49]: 5997
    [2, 50]: 1819
    [2, 51]: 15235
    [2, 52]: 45790
    [2, 53]: 46995
    [2, 54]: 24970
    [2, 55]: 24969
    [2, 56]: 24968
    [2, 57]: 24972
    [2, 58]: 24966
    [2, 59]: 31285
    [2, 60]: 2203
    [2, 61]: 2204
    [2, 62]: 41810
    [2, 63]: 41095
    [2, 64]: 43129
    [2, 65]: 48124
    [2, 66]: 13036
    [2, 67]: 18289
    [2, 68]: 36429
    [2, 69]: 14569
    [2, 70]: 14571
    [2, 71]: 14574
    [2, 72]: 4593
    [2, 73]: 38441
    [2, 74]: 42961
    [2, 75]: 27422
    [2, 76]: 4818
    [2, 77]: 13018
    [2, 78]: 38218
    [2, 79]: 47110
    [2, 80]: 12990
    [2, 81]: 15272
    [2, 82]: 15251
    [2, 83]: 36651
    [2, 84]: 38465
    [2, 85]: 14858
    [2, 86]: 14855
    [2, 87]: 14860
    [2, 88]: 14854
    [2, 89]: 14856
    [2, 90]: 14859
    [2, 91]: 14861
    [2, 92]: 14857
    [2, 93]: 7754
    [2, 94]: 42957
    [2, 95]: 31136
    [2, 96]: 31175
    [2, 97]: 43439
    [2, 98]: 43436
    [2, 99]: 43433
    [2, 100]: 43435
    [2, 101]: 43438
    [2, 102]: 43434
    [2, 103]: 43437
    [2, 104]: 43260
    [2, 105]: 39246
    [2, 106]: 13035
    [2, 107]: 7005
    [2, 108]: 4561
    [2, 109]: 40738
    [2, 110]: 42969
    [2, 111]: 40902
    [2, 112]: 15232
    [2, 113]: 7786
    [2, 114]: 15230
    [2, 115]: 36393:-17
    [2, 116]: 36394:-17
    [2, 117]: 10127:193
    [2, 118]: 15222:24
    [2, 119]: 15222:23
    [2, 120]: 15242:115
    [2, 121]: 14967:-17
    [2, 122]: 14966:320
